step	loss
49	2.3147594928741455
99	2.2980501651763916
149	2.2819454669952393
199	2.3145668506622314
249	2.3102505207061768
299	2.29469895362854
349	2.300455093383789
399	2.2942492961883545
449	2.302246332168579
499	2.295792579650879
549	2.332603693008423
599	2.3061776161193848
649	2.316636800765991
699	2.298156499862671
749	2.3119733333587646
799	2.3122916221618652
849	2.3087847232818604
899	2.2939324378967285
949	2.3101301193237305
999	2.306267023086548
1049	2.2981066703796387
1099	2.306474208831787
1149	2.2944095134735107
1199	2.2951157093048096
1249	2.3061187267303467
1299	2.31990122795105
1349	2.2814626693725586
1399	2.311897039413452
1449	2.310015916824341
1499	2.2950778007507324
1549	2.2980120182037354
1599	2.2992122173309326
1649	2.322768211364746
1699	2.30629301071167
1749	2.30672025680542
1799	2.307466745376587
1849	2.302675724029541
1899	2.301320791244507
1949	2.3213818073272705
1999	2.3117403984069824
2049	2.3287699222564697
2099	2.2917139530181885
2149	2.2916548252105713
2199	2.2885565757751465
2249	2.3099002838134766
2299	2.308518886566162
2349	2.299861431121826
2399	2.3061022758483887
2449	2.290271282196045
2499	2.2940902709960938
2549	2.287350654602051
2599	2.306487798690796
2649	2.29357647895813
2699	2.307880401611328
2749	2.2944140434265137
2799	2.318203926086426
2849	2.316082715988159
2899	2.3120830059051514
2949	2.31614351272583
2999	2.2945523262023926
3049	2.299506187438965
3099	2.305983543395996
3149	2.3074264526367188
3199	2.301990270614624
3249	2.3153600692749023
3299	2.313858985900879
3349	2.3078739643096924
3399	2.3307461738586426
3449	2.300710678100586
3499	2.308684825897217
